Dutch,English,Known
som,sum,false
bedrag,amount,false
aantal,number,false
hoeveelheid,quantity,false
maat,size,false
afmeting,dimension,false
lengte,length,false
breedte,width,false
hoogte,height,false
diepte,depth,false
dikte,thickness,false
gewicht,weight,false
massa,mass,false
volume,volume,false
inhoud,content,false
capaciteit,capacity,false
snelheid,speed,false
tempo,pace,false
ritme,rhythm,false
frequentie,frequency,false
herkomst,origin,false
bestemming,destination,false
doel,goal,false
reden,reason,false
oorzaak,cause,false
gevolg,consequence,false
effect,effect,false
invloed,influence,false
impact,impact,false
resultaat,result,false
uitkomst,outcome,false
conclusie,conclusion,false
eind,end,false
slot,end,false
afsluiting,closure,false
opening,opening,false
begin,beginning,false
start,start,false
aanvang,beginning,false
inleiding,introduction,false
voorwoord,preface,false
hoofdstuk,chapter,false
paragraaf,paragraph,false
zin,sentence,false
woord,word,false
letter,letter,false
cijfer,digit,false
teken,sign,false
symbool,symbol,false
punt,point,false
komma,comma,false
vraagteken,question mark,false
uitroepteken,exclamation mark,false
dubbele punt,colon,false
puntkomma,semicolon,false
apostrof,apostrophe,false
aanhalingsteken,quotation mark,false
streepje,dash,false
koppelteken,hyphen,false
accent,accent,false
hoofdletter,capital letter,false
kleine letter,lowercase letter,false
spelling,spelling,false
grammatica,grammar,false
taal,language,false
dialect,dialect,false
accent,accent,false
uitspraak,pronunciation,false
betekenis,meaning,false
definitie,definition,false
vertaling,translation,false
woordenboek,dictionary,false
encyclopedie,encyclopedia,false
atlas,atlas,false
kaart,map,false
diagram,diagram,false
grafiek,graph,false
tabel,table,false
lijst,list,false
overzicht,overview,false
samenvatting,summary,false
verslag,report,false
rapport,report,false
document,document,false
bestand,file,false
tekst,text,false
artikel,article,false
essay,essay,false
verhaal,story,false
roman,novel,false
gedicht,poem,false
lied,song,false
script,script,false
scenario,scenario,false
toneelstuk,play,false
film,movie,false
documentaire,documentary,false
serie,series,false
aflevering,episode,false
seizoen,season,false
knal,episode,false
geklaagd,complained,false
nog niet,not yet,false
vieren,to celebrate,false
bordjes,signs,false
afscheid nemen,say goodbye,false
wedstrijd,game,false
fooi,tip,false
uitleggen,to explain,false
begeleiding,guidance,false
toegestaan,allowed,false
gedrag,behaviour,false
ontspanning,relaxation,false
de uitdaging,challenge,false
onbekend,unknown,false
afgelegen,remote,false
gebieden,areas,false
leeftijd,age,false
de aflevering,episode,false
vooral,especially,false
verbonden,connected,false
acteurs,actors,false
beroemd,famous,false
woordenschat,vocabulary,false
laten zien,to show,false
lastig,tricky,false
vanwege het weer,because of the weather,false
vorig jaar,last year,false
de bon,receipt,false
beleefd,polite,false
onbeleefd,not polite,false
tuinieren,to garden,false
zoet,sweet,false
erwten,peas,false
kruiden,herbs,false
het bestand,file,false
zetten,to put,false
zitten,to sit,false
vervelend,annoying,false
beslissen,to decide,false
de bijbaan,side job,false
durven,to dare,false
beweren,to claim,false
gaaf,cool,false
aanbieden,to offer,false
het inkomen,income,false
mogelijkheden,opportunities,false
groeien,to grow,false
het pand,building,false
de vijver,pond,false
veranderen,to change,false
aandoen,put on,false
aantrekkelijke,attractive,false
bang,afraid,false
beide,both,false
bent van plan,intend,false
bieden aan,offer,false
de aanbieding,offer,false
de automaat,vending machine,false
de brief,letter,false
de cardio,cardio fitness,false
de conditie,physical condition,false
de groepsles,group lesson,false
de groep,group,false
de kleren,clothes,false
de kracht,strength,false
de krachttraining,weight training,false
de liefde,love,false
de man,man,false
de manier,way,false
de nieuwsbrief,newsletter,false
de school,school,false
de spierpijn,muscular pain,false
de sportkleren,sports clothes,false
de sportschool,sports club,false
de training,training,false
de spier,muscles,false
doelen,goals,false
elke,each,false
energiedrankjes,energy drinks,false
fitte,healthy,false
gaat in,becomes effective,false
gratis,free,false
het abonnement,subscription,false
het bedrag,amount,false
het buikspierkwartier,abs workout,false
het drankje,drink,false
het gewicht,weight,false
het lid,member,false
het muntgeld,cash,false
het nieuws,news,false
het pasje,card,false
het plezier,fun,false
het procent,per cent,false
het rooster,schedule,false
het saldo,balance,false
in de rij staan,queue up,false
klinkt,to sound,false
kijk mee,watch,false
laden,to charge,false
maak klaar,prepare,false
meedoen,join in,false
mensen,people,false
meteen,straightaway,false
nogal,quite,false
op die manier,in that way,false
opzeggen,cancel,false
speciale,special,false
sporten,to play sports,false
sturen,to send,false
trouwen,to marry,false
verkopen,to sell,false
verliezen,to lose,false
verbeteren,to improve,false
versterken,to strengthen,false
virtuele,virtual,false
waarschijnlijk,probably,false
zeker,sure,false
veel plezier,have fun,false
